Codigo Punto de Venta;Punto de Venta;Empresas;Latitud;Longitud;Canal;Zona;Distrito
34102;ALMENDARIZ JAVIER PRADO;PERNOD RICARD PERU S.A.;-12.09314599;-77.0576372;TRADICIONAL;LIMA;MAGDALENA DEL MAR
34103;HUAMANI GASTELU OLGA ISABEL;PERNOD RICARD PERU S.A.;-12.0545994;-77.050845;TRADICIONAL;LIMA;BREÑA
34104;NUÑEZ OJEDA EDGAR;PERNOD RICARD PERU S.A.;-12.0637252;-77.0707104;TRADICIONAL;LIMA;BREÑA
34105;LICORERIA DISENZO;PERNOD RICARD PERU S.A.;-12.1021463;-77.0013336;TRADICIONAL;LIMA;LIMA
34106;OJEDA NINAQUISPE LUIS ALBERTO;PERNOD RICARD PERU S.A.;-12.0635175;-77.0669572;TRADICIONAL;LIMA;LIMA
34107;M&S NEGOCIOS;PERNOD RICARD PERU S.A.;-12.0802095;-77.0362175;TRADICIONAL;LIMA;LINCE
34108;LICORERIA SISI;PERNOD RICARD PERU S.A.;-12.08413433;-77.02858108;TRADICIONAL;LIMA;LINCE
34111;ALMENDARIZ CONQUISTADORES;PERNOD RICARD PERU S.A.;-12.1047676;-77.0370369;TRADICIONAL;LIMA;SAN ISIDRO
34112;EL GITANO (FAUCETT);PERNOD RICARD PERU S.A.;-12.0641547;-77.0971261;TRADICIONAL;LIMA;SAN MIGUEL
34113;ALMENDARIZ MENDIBURU;PERNOD RICARD PERU S.A.;-12.11393246;-77.04613273;TRADICIONAL;LIMA;MIRAFLORES
34114;LICORERIA BRISOL SAN MIGUEL;PERNOD RICARD PERU S.A.;-12.0819159;-77.0884279;TRADICIONAL;LIMA;SAN MIGUEL
34115;MI MAR BRASIL;PERNOD RICARD PERU S.A.;-12.0708306;-77.0506361;TRADICIONAL;LIMA;PUEBLO LIBRE
34116;MI MAR CANEVARO;PERNOD RICARD PERU S.A.;-12.0838093;-77.0370573;TRADICIONAL;LIMA;LINCE
34117;AQUINO MAGDALENA;PERNOD RICARD PERU S.A.;-12.08986052;-77.07329717;TRADICIONAL;LIMA;MAGDALENA DEL MAR
34118;LAU EZETA;PERNOD RICARD PERU S.A.;-12.0710755;-77.0506349;TRADICIONAL;LIMA;MAGDALENA DEL MAR
34119;LICOSERVICE;PERNOD RICARD PERU S.A.;-12.00954101;-77.0588037;TRADICIONAL;LIMA;SAN MARTIN DE PORRES
34120;DISTRIBUIDORA DIPSI;PERNOD RICARD PERU S.A.;-12.027662;-77.056781;TRADICIONAL;LIMA;SAN MARTIN DE PORRES
34122;LICORERIA VAM;PERNOD RICARD PERU S.A.;-11.9949745;-77.0771557;TRADICIONAL;LIMA;LOS OLIVOS
34123;LICORERIA LA CAVA LOS OLIVOS;PERNOD RICARD PERU S.A.;-11.9945617;-77.0752067;TRADICIONAL;LIMA;LOS OLIVOS
34124;AS CONSTRUCCIONES & DIVERSIONES EIRL;PERNOD RICARD PERU S.A.;-11.994848;-77.0764902;TRADICIONAL;LIMA;LOS OLIVOS
